com.airkast.MARK_LEVIN_apk, android.location.Location getLatitude, $d0 = virtualinvoke $r1.<android.location.Location: double getLatitude()>(), androidx.appcompat, ImmediateBox($d0) in virtualinvoke $r3.<androidx.appcompat.app.TwilightCalculator: void calculateTwilight(long__double__double)>($l1__ $d0__ $d1), 
com.airkast.MARK_LEVIN_apk, advertisingidClient getadvertisingidInfo, $r1 = staticinvoke <com.instreamatic.adman.AdvertisingIdClient: com.instreamatic.adman.AdvertisingIdClient$Info getAdvertisingIdInfo(android.content.Context)>($r0), com.instreamatic, JimpleLocalBox($r8) in specialinvoke $r8.<com.instreamatic.adman.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.airkast.MARK_LEVIN_apk, advertisingidClient getInfo, $r4 = virtualinvoke $r3.<com.google.android.gms.ads.identifier.AdvertisingIdClient: com.google.android.gms.ads.identifier.AdvertisingIdClient$Info getInfo()>(), com.google.android.gms, JimpleLocalBox($r8) in specialinvoke $r8.<com.google.android.gms.ads.identifier.AdvertisingIdClient$Info: void <init>(java.lang.String__boolean)>($r9__ $z0), 
com.aisle.app_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r14.<android.location.Location: double getLongitude()>(), org.json, ImmediateBox($d0) in virtualinvoke $r13.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("lat"__ $d0), 
com.alfa.droplets.gplay_apk, android.location.LocationManager getLastKnownLocation, $r12 = virtualinvoke $r2.<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>($r9), com.yandex, ImmediateBox($r12) in $z2 = staticinvoke <com.yandex.metrica.impl.ob.hn: boolean a(android.location.Location__android.location.Location__long__long)>($r12__ $r7__ $l0__ 200L), 
com.alfa.droplets.gplay_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r3.<android.location.Location: double getLongitude()>(), com.yandex, LinkedRValueBox($d0) in $r1.<com.yandex.metrica.impl.ob.ke$b$b: double e> = $d0, 
com.alfa.droplets.gplay_apk, android.hardware.SensorManager getDefaultSensor, $r12 = virtualinvoke $r10.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r12) in if $r12 != null goto $r13 = <com.facebook.ads.internal.fx: android.hardware.SensorEventListener h>, 
com.alfa.droplets.gplay_apk, android.location.Location getLongitude, $d0 = virtualinvoke $r5.<android.location.Location: double getLongitude()>(), org.json, ImmediateBox($d0) in virtualinvoke $r0.<org.json.JSONObject: org.json.JSONObject put(java.lang.String__double)>("lat"__ $d0), 
com.alfa.droplets.gplay_apk, android.hardware.SensorManager getDefaultSensor, $r12 = virtualinvoke $r10.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(1), com.facebook, ImmediateBox($r12) in if $r12 != null goto $r12 = <com.facebook.ads.internal.fx: android.hardware.Sensor c>, 
com.anddoes.launcher_apk, android.hardware.SensorManager getDefaultSensor, $r4 = virtualinvoke $r1.<android.hardware.SensorManager: android.hardware.Sensor getDefaultSensor(int)>(4), com.facebook, ImmediateBox($r4) in if $r4 != null goto $r5 = <com.facebook.ads.redexgen.X.8r: android.hardware.SensorEventListener A02>, 
